in1,in2,out
zero,zero,zero
zero,one,one
zero,two,two
zero,three,three
zero,four,four
zero,five,five
zero,six,six
zero,seven,seven
zero,eight,eight
zero,nine,nine
zero,ten,ten
zero,over,over
zero,under,under
one,zero,one
one,one,two
one,two,three
one,three,four
one,four,five
one,five,six
one,six,seven
one,seven,eight
one,eight,nine
one,nine,ten
one,ten,over
one,over,over
one,under,under
two,zero,two
two,one,three
two,two,four
two,three,five
two,four,six
two,five,seven
two,six,eight
two,seven,nine
two,eight,ten
two,nine,over
two,ten,over
two,over,over
two,under,under
three,zero,three
three,one,four
three,two,five
three,three,six
three,four,seven
three,five,eight
three,six,nine
three,seven,ten
three,eight,over
three,nine,over
three,ten,over
three,over,over
three,under,under
four,zero,four
four,one,five
four,two,six
four,three,seven
four,four,eight
four,five,nine
four,six,ten
four,seven,over
four,eight,over
four,nine,over
four,ten,over
four,over,over
four,under,under
five,zero,five
five,one,six
five,two,seven
five,three,eight
five,four,nine
five,five,ten
five,six,over
five,seven,over
five,eight,over
five,nine,over
five,ten,over
five,over,over
five,under,under
six,zero,six
six,one,seven
six,two,eight
six,three,nine
six,four,ten
six,five,over
six,six,over
six,seven,over
six,eight,over
six,nine,over
six,ten,over
six,over,over
six,under,under
seven,zero,seven
seven,one,eight
seven,two,nine
seven,three,ten
seven,four,over
seven,five,over
seven,six,over
seven,seven,over
seven,eight,over
seven,nine,over
seven,ten,over
seven,over,over
seven,under,under
eight,zero,eight
eight,one,nine
eight,two,ten
eight,three,over
eight,four,over
eight,five,over
eight,six,over
eight,seven,over
eight,eight,over
eight,nine,over
eight,ten,over
eight,over,over
eight,under,under
nine,zero,nine
nine,one,ten
nine,two,over
nine,three,over
nine,four,over
nine,five,over
nine,six,over
nine,seven,over
nine,eight,over
nine,nine,over
nine,ten,over
nine,over,over
nine,under,under
ten,zero,ten
ten,one,over
ten,two,over
ten,three,over
ten,four,over
ten,five,over
ten,six,over
ten,seven,over
ten,eight,over
ten,nine,over
ten,ten,over
ten,over,over
ten,under,under
over,zero,over
over,one,over
over,two,over
over,three,over
over,four,over
over,five,over
over,six,over
over,seven,over
over,eight,over
over,nine,over
over,ten,over
over,over,over
over,under,over
under,zero,under
under,one,under
under,two,under
under,three,under
under,four,under
under,five,under
under,six,under
under,seven,under
under,eight,under
under,nine,under
under,ten,under
under,over,over
under,under,under
