in1,in2,out
zero,zero,zero
zero,one,under
zero,two,under
zero,three,under
zero,four,under
zero,five,under
zero,six,under
zero,seven,under
zero,eight,under
zero,nine,under
zero,ten,under
zero,over,under
zero,under,over
one,zero,one
one,one,zero
one,two,under
one,three,under
one,four,under
one,five,under
one,six,under
one,seven,under
one,eight,under
one,nine,under
one,ten,under
one,over,under
one,under,over
two,zero,two
two,one,one
two,two,zero
two,three,under
two,four,under
two,five,under
two,six,under
two,seven,under
two,eight,under
two,nine,under
two,ten,under
two,over,under
two,under,over
three,zero,three
three,one,two
three,two,one
three,three,zero
three,four,under
three,five,under
three,six,under
three,seven,under
three,eight,under
three,nine,under
three,ten,under
three,over,under
three,under,over
four,zero,four
four,one,three
four,two,two
four,three,one
four,four,zero
four,five,under
four,six,under
four,seven,under
four,eight,under
four,nine,under
four,ten,under
four,over,under
four,under,over
five,zero,five
five,one,four
five,two,three
five,three,two
five,four,one
five,five,zero
five,six,under
five,seven,under
five,eight,under
five,nine,under
five,ten,under
five,over,under
five,under,over
six,zero,six
six,one,five
six,two,four
six,three,three
six,four,two
six,five,one
six,six,zero
six,seven,under
six,eight,under
six,nine,under
six,ten,under
six,over,under
six,under,over
seven,zero,seven
seven,one,six
seven,two,five
seven,three,four
seven,four,three
seven,five,two
seven,six,one
seven,seven,zero
seven,eight,under
seven,nine,under
seven,ten,under
seven,over,under
seven,under,over
eight,zero,eight
eight,one,seven
eight,two,six
eight,three,five
eight,four,four
eight,five,three
eight,six,two
eight,seven,one
eight,eight,zero
eight,nine,under
eight,ten,under
eight,over,under
eight,under,over
nine,zero,nine
nine,one,eight
nine,two,seven
nine,three,six
nine,four,five
nine,five,four
nine,six,three
nine,seven,two
nine,eight,one
nine,nine,zero
nine,ten,under
nine,over,under
nine,under,over
ten,zero,ten
ten,one,nine
ten,two,eight
ten,three,seven
ten,four,six
ten,five,five
ten,six,four
ten,seven,three
ten,eight,two
ten,nine,one
ten,ten,zero
ten,over,under
ten,under,over
over,zero,over
over,one,over
over,two,over
over,three,over
over,four,over
over,five,over
over,six,over
over,seven,over
over,eight,over
over,nine,over
over,ten,over
over,over,over
over,under,over
under,zero,under
under,one,under
under,two,under
under,three,under
under,four,under
under,five,under
under,six,under
under,seven,under
under,eight,under
under,nine,under
under,ten,under
under,over,under
under,under,under
